nta,boro_name,name,shape_area,population,population_density,engine_incident_average_duration_first_shift,engine_incident_average_duration_second_shift,ladder_incident_average_duration_first_shift,ladder_incident_average_duration_second_shift,rescue_incident_average_duration_first_shift,rescue_incident_average_duration_second_shift,squad_incident_average_duration_first_shift,squad_incident_average_duration_second_shift,hazardous_incident_average_duration_first_shift,hazardous_incident_average_duration_second_shift,engine_needed_per_density_first_shift,engine_needed_per_density_second_shift,ladder_needed_per_density_first_shift,ladder_needed_per_density_second_shift,rescue_needed_per_density_first_shift,rescue_needed_per_density_second_shift,squad_needed_per_density_first_shift,squad_needed_per_density_second_shift,hazardous_needed_per_density_first_shift,hazardous_needed_per_density_second_shift
SI35,Staten Island,New Brighton-Silver Lake,0.1292235734377568,0.13238604601973136,0.06510421075225824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI07,Staten Island,Westerleigh,0.17934955921252346,0.18206952816933328,0.06671842703534171,1592.5,1628.5136452241716,1623.6673089274245,1707.3256972111553,1507.6304347826087,2179.03125,1722.3376623376623,1579.5714285714287,1764.0735294117646,1746.8426966292134,0.17891577052762536,0.13428589622443418,0.17711113695281436,0.1317522780531329,0.19002337634485109,0.16208924332407623,0.21388590676533847,0.1163549334732183,0.19849064118922896,0.21649315147978598
SI22,Staten Island,West New Brighton-New Brighton-St. George,0.1568720132767959,0.2534484582030247,0.10485823720136857,1875.5885663507108,1707.1729106628243,1735.5528693528693,1566.3007701661938,1839.3684210526317,1599.0,3708.869822485207,1636.9130434782608,1761.7588235294118,1499.9084967320262,0.5104450183521406,0.3589342677668672,0.5259149678622533,0.36550888333872306,0.5316899076964691,0.3431309034016166,0.5300081104692712,0.21581864885694094,0.560253282955182,0.42019410318276096
BK79,Brooklyn,Ocean Hill,0.04512960618898651,0.24124099170557042,0.2783501650455583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK85,Brooklyn,East New York (Pennsylvania Ave),0.042975630539123524,0.22166069890767348,0.2648920855041035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK76,Brooklyn,Greenpoint,0.09248723316755902,0.26227167656257083,0.1721227577661308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN20,Manhattan,Murray Hill-Kips Bay,0.027622211416187342,0.38331142636994064,0.6145033652425079,1548.0054682159946,1565.154255319149,1500.6943685073811,1610.5920704845814,1442.1927710843374,1902.5238095238096,1426.774647887324,1543.0,1423.9594594594594,1497.1739130434783,0.8571374271155577,0.6458863536696132,0.910196019423156,0.651604762385963,1.0,0.4653583160444444,0.8628072004080558,0.32723763397356725,0.9449891228150299,0.7342893250138584
MN22,Manhattan,East Village,0.01653720938543897,0.33340887458641166,0.7094185723966059,1471.7589424572318,2071.8439716312055,1590.5501981505945,2085.2521645021643,1936.736,3672.676470588235,1661.8064516129032,1746.7,1317.6271186440679,1807.3541666666667,1.0,0.7500963640459939,1.0,0.704065814494235,0.9994356193701878,1.0,0.9999999999999999,0.48258479348450456,1.0,0.6779727830416454
MN23,Manhattan,West Village,0.06004254157654181,0.5052199005877109,0.47058832982200005,1607.8177545691906,1583.1656314699792,1577.5111695137975,1523.4379358437936,1547.5388349514562,1314.9756097560976,1681.2164948453608,1320.3478260869565,1347.7083333333333,1568.070796460177,0.6518731827635857,0.48206277723876506,0.6601085252893126,0.47832793323073663,0.7210200408173835,0.5278861224757,0.6848813658240984,0.4858886722962155,0.7122861941962318,0.6986903919763184
MN01,Manhattan,Marble Hill-Inwood,0.037916352721050026,0.35312514163984954,0.46063747167449426,1525.014423076923,1566.6363636363637,1458.7203742203742,1619.0765696784074,1807.8804347826087,1366.5,1455.6666666666667,1629.9,1534.392857142857,1494.8048780487804,0.396631848263738,0.3280029825518464,0.3895421194700541,0.30504203812059477,0.4509598358937416,0.25243777559885244,0.41530085663037014,0.2958549629551455,0.29094523289359264,0.3550259555461746
